number_of_nodes 17
number_of_arcs 48
node_capacity_types 4 storage_capacity networking_capacity ram_capacity cpu_capacity

node    1   node_id 1 node_type access longitude 0.25 latitude 54.5 coverage_radius 500 ram_capacity 100 cpu_capacity 100 storage_capacity 100 networking_capacity 100 ram_cost 57 cpu_cost 54 storage_cost 57 networking_cost 654 ue_capacity 158 availability 0.999 internal_delay 54 node_cost 100

node    2   node_id 2 node_type access longitude 0.25 latitude 54.5 coverage_radius 500 ram_capacity 100 cpu_capacity 100 storage_capacity 100 networking_capacity 100 ram_cost 57 cpu_cost 54 storage_cost 57 networking_cost 654 ue_capacity 158 availability 0.999 internal_delay 54 node_cost 100

node    3   node_id 3 node_type access longitude 0.25 latitude 54.5 coverage_radius 500 ram_capacity 100 cpu_capacity 100 storage_capacity 100 networking_capacity 100 ram_cost 57 cpu_cost 54 storage_cost 57 networking_cost 654 ue_capacity 158 availability 0.999 internal_delay 54 node_cost 100

node    4   node_id 4 node_type access longitude 0.25 latitude 54.5 coverage_radius 500 ram_capacity 100 cpu_capacity 100 storage_capacity 100 networking_capacity 100 ram_cost 57 cpu_cost 54 storage_cost 57 networking_cost 654 ue_capacity 158 availability 0.999 internal_delay 54 node_cost 100

node    5   node_id 5 node_type non_access longitude 0.25 latitude 54.5 coverage_radius 500 ram_capacity 0 cpu_capacity 0 storage_capacity 0 networking_capacity 0 ram_cost 57 cpu_cost 54 storage_cost 57 networking_cost 654 ue_capacity 158 availability 0.999 internal_delay 54 node_cost 0

node    6   node_id 6 node_type non_access longitude 0.25 latitude 54.5 coverage_radius 500 ram_capacity 1000 cpu_capacity 1000 storage_capacity 1000 networking_capacity 1000 ram_cost 57 cpu_cost 54 storage_cost 57 networking_cost 654 ue_capacity 158 availability 0.999 internal_delay 54 node_cost 100

node    7   node_id 7 node_type non_access longitude 0.25 latitude 54.5 coverage_radius 500 ram_capacity 0 cpu_capacity 0 storage_capacity 0 networking_capacity 0 ram_cost 57 cpu_cost 54 storage_cost 57 networking_cost 654 ue_capacity 158 availability 0.999 internal_delay 54 node_cost 0

node    8   node_id 8 node_type non_access longitude 0.25 latitude 54.5 coverage_radius 500 ram_capacity 0 cpu_capacity 1000 storage_capacity 1000 networking_capacity 1000 ram_cost 57 cpu_cost 54 storage_cost 57 networking_cost 654 ue_capacity 158 availability 0.999 internal_delay 54 node_cost 100

